Model,Sample,ME,RMSE,MAE,MPE,MAPE,MASE,ACF1,Theils_U
ETS,Test,112253.13,157681.0,148870.11,2.7878576,3.798624,0.8349967,-0.36021527,0.52958
ARIMA,Test,164130.3563,211553.5,176647.8,4.0684693,4.413997,0.9907987,-0.462656765,0.8401012
